日期,流水編號,代號,名稱,發布日期時間,新聞標題,新聞內容,RTIME
20160104,WEB0344,2330,台積電,2016/01/04 20:21:55,台積電：本公司訂購工程設施公告,"第二條　第20款
1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
工程設施。
2.事實發生日:104/12/10~105/1/4
3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易數量：一批；交易總金額：NT＄1,372 佰萬元。  
(依上述事實發生日期間之累計訂單總金額)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
中國鋼鐵結構股份有限公司和互助營造股份有限公司；與公司關係：無。
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用。
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用。
7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用。
8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
驗收後，月結電匯付款。
9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
比價及議價，依據原廠提供之報價單及其它廠商之報價單做比價、
議價後，由使用單位及採購部徵得總經理暨共同執行長同意後決定。
10.專業估價者事務所或公司名稱及其估價金額:
不適用。
11.專業估價師姓名:
不適用。
12.專業估價師開業證書字號:
不適用。
13.估價報告是否為限定價格、特定價格或特殊價格:否
14.是否尚未取得估價報告:是
15.尚未取得估價報告之原因:
不適用。
16.與交易金額比較有重大差異原因及會計師意見:
不適用。
17.經紀人及經紀費用:
無。
18.取得或處分之具體目的或用途:
供生產及營運用。
19.本次交易表示異議之董事之意見:
不適用。
20.本次交易為關係人交易:否
21.董事會通過日期:
不適用。
22.監察人承認或審計委員會同意日期:
不適用。
23.本次交易係向關係人取得不動產:否
24.依「公開發行公司取得或處分資產處理準則」第十五條規定
評估之價格:不適用
25.依前項評估之價格較交易價格為低者，依同準則第十六條規
定評估之價格:不適用
26.其他敘明事項:
無。
",182974519
20160104,WEB0334,2330,台積電,2016/01/04 19:49:25,台積電：本公司訂購機器及廠務設備公告,"第二條　第20款
1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
機器及廠務設備。
2.事實發生日:104/3/9~105/1/4
3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易數量：一批；交易總金額：NT＄3,738 佰萬元。
(依上述事實發生日期間之累計訂單總金額)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
士林電機廠股份有限公司新竹分公司和 KLA-Tencor Corp.；與公司關係：無。
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用。
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用。
7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用。
8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
出貨後三十天電匯90%貨款，驗收後三十天電匯10%貨款。
9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
比價及議價，依據原廠提供之報價單及其它廠商之報價單做比價、議價後，
由使用單位及採購部徵得總經理暨共同執行長同意後決定。
10.專業估價者事務所或公司名稱及其估價金額:
不適用。
11.專業估價師姓名:
不適用。
12.專業估價師開業證書字號:
不適用。
13.估價報告是否為限定價格、特定價格或特殊價格:否
14.是否尚未取得估價報告:是
15.尚未取得估價報告之原因:
不適用。
16.與交易金額比較有重大差異原因及會計師意見:
不適用。
17.經紀人及經紀費用:
無。
18.取得或處分之具體目的或用途:
供生產及營運用。
19.本次交易表示異議之董事之意見:
不適用。
20.本次交易為關係人交易:否
21.董事會通過日期:
不適用。
22.監察人承認或審計委員會同意日期:
不適用。
23.本次交易係向關係人取得不動產:否
24.依「公開發行公司取得或處分資產處理準則」第十五條規定
評估之價格:不適用
25.依前項評估之價格較交易價格為低者，依同準則第十六條規
定評估之價格:不適用
26.其他敘明事項:
無。
",182972584
20160104,WEB0298,2330,台積電,2016/01/04 18:13:42,台積電：代子公司台積電(中國)公告取得人民幣保本型結構性存款商品,"第二條　第20款
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
可展期存款(渣打);持有至到期保本型結構性存款
2.事實發生日:105/1/4~105/1/4
3.交易數量、每單位價格及交易總金額:
交易總金額： CNY 6億元；
到期日：民國105年03月31日；
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
渣打?行（中國）;與公司關係: 無。
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用。
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用。
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用。
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用。
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次付清；無。
10.本次交易之決定方式、價格決定之參考依據及決策單位:
依市場利率價格計算；財務處。
11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
CNY 6億元；不適用；無。
12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
0.21%；0.26%；NT＄ 192,688佰萬元。
13.經紀人及經紀費用:
無。
14.取得或處分之具體目的或用途:
固定收益投資。
15.本次交易表示異議董事之意見:
不適用。
16.本次交易為關係人交易:否
17.董事會通過日期:
不適用。
18.監察人承認日期:
不適用。
19.本次交易會計師出具非合理性意見:否
20.其他敘明事項:
無。
",182966797
20160105,WEB0184,2330,台積電,2016/01/05 14:29:39,台積電：本公司訂購機器設備公告,"第二條　第20款
1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
機器設備。
2.事實發生日:104/12/23~105/1/5
3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易數量：一批；交易總金額：NT＄1,436 佰萬元。
(依上述事實發生日期間之累計訂單總金額)
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
Lam Research International Sarl；與公司關係：無。
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用。
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用。
7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用。
8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
出貨後三十天電匯90%貨款，驗收後三十天電匯10%貨款。
9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
比價及議價，依據原廠提供之報價單及其它廠商之報價單做比價、議價後，
由使用單位及採購部徵得總經理暨共同執行長同意後決定。
10.專業估價者事務所或公司名稱及其估價金額:
不適用。
11.專業估價師姓名:
不適用。
12.專業估價師開業證書字號:
不適用。
13.估價報告是否為限定價格、特定價格或特殊價格:否
14.是否尚未取得估價報告:是
15.尚未取得估價報告之原因:
不適用。
16.與交易金額比較有重大差異原因及會計師意見:
不適用。
17.經紀人及經紀費用:
無。
18.取得或處分之具體目的或用途:
供生產用。
19.本次交易表示異議之董事之意見:
不適用。
20.本次交易為關係人交易:否
21.董事會通過日期:
不適用。
22.監察人承認或審計委員會同意日期:
不適用。
23.本次交易係向關係人取得不動產:否
24.依「公開發行公司取得或處分資產處理準則」第十五條規定
評估之價格:不適用
25.依前項評估之價格較交易價格為低者，依同準則第十六條規
定評估之價格:不適用
26.其他敘明事項:
無。
",183053404
20160106,WEB0170,2330,台積電,2016/01/06 13:57:46,台積電：公告本公司將於1月14日召開法人說明會,"第二條　第12款
符合條款第四條第XX款：12
事實發生日：105/01/14
1.召開法人說明會之日期：105/01/14
2.召開法人說明會之時間：14 時 00 分 
3.召開法人說明會之地點：台北遠東國際大飯店三樓遠東宴會廳(台北市敦化南路二段201號)
4.法人說明會擇要訊息：公布2015年第4季財務報告及本公司2016年第1季的業績展望
5.其他應敘明事項：無。
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。
",183151458
20160108,WEB0328,2330,台積電,2016/01/08 17:51:25,台積電：台積公司2015年12月營收報告,"第二條　第49款
1.事實發生日:105/01/08
2.公司名稱:台灣積體電路製造股份有限公司。
3.與公司關係(請輸入本公司或子公司):本公司。
4.相互持股比例:不適用。
5.傳播媒體名稱:不適用。
6.報導內容:不適用。
7.發生緣由:不適用。
8.因應措施:不適用。
9.其他應敘明事項:
台積公司今（8）日公佈2015年12月營收報告。
2015年12月合併營收約為新台幣583億4,700萬元，
較上月減少了8.0%，較去年同期減少了16.1%。
累計2015年1至12月營收約為新台幣8,434億9,700萬元，
較去年同期增加了10.6%。
",183365442
20160108,WEB0299,2330,台積電,2016/01/08 16:55:43,台積電12月營收創21月來新低 2015全年仍成長10%創新高,"晶圓代工一哥台積電(2330-TW) (TSM-US)今(8)日公佈12月份業績，受到庫存調節影響，以583.47億元、月減8%，創21個月來單月新低紀錄，但2015年全年合併營收符合預期目標，以8434.97億元、年增10.6%，創營收歷史新高紀錄。
至於第4季合併營收，金額為2035.18億元，一如台積電預期目標約2010~2040億元，季減4.2%。
展望後續，台積電董事長張忠謀預估，庫存調節至2015年底結束，半導體在今年首季就會回春。
台積電預計在本月14日召開新一季的法說會，說明今年營運展望並公布去年獲利。今年是台積電16奈米製程全面推進的一年，法人因此預估，營收有機會進一步突破9000億元關卡。
",183362161
20160111,WEB0099,2330,台積電,2016/01/11 11:15:20,晶圓代工廠迎接春燕？台積電法說會前夕 法人看得保守,"台積電(2330-TW) (TSM-US)法說會預計本週四登場，庫存已去化，本季展望一般預料較上一季轉佳。法人則是認為，蘋果銷售不如預期、消費性電子產品已落底，本季將以庫存回補為主調，營運緩步回升，但難見大幅成長，以持平或小幅成長。 
台積電、聯電、世界先進上週五已全數公佈2015年12月份合併營收與全年業績，表現符合預期。其中，台積電的12月合併營收以583.47億元月減8.01%，但2015年全年合併營收符合預期目標，以8434.97億元、年增10.6%，創營收歷史新高紀錄。
本週四台積電法說會將登場，外界預估，台積電受惠於大尺寸電視面板驅動IC、手機相關產品需求動能加溫，預估首季業績可望淡季不淡。在16奈米等先進製程比重拉升，及囊括蘋果A10處理器大單，預估營運可望逐季成長，全年營收有機會較去年成長1成。
台灣工銀證券投顧研究員陳宏毅認為，整體產業庫存去化已近尾聲，已看到小幅庫存回補，短期營運受蘋果銷售不如預期，其餘傳統電子如面板、NB、PC及其他消費性產品則呈現落底，本季產業狀況雖不致大幅成長，但基本持平至小幅成長。 
陳宏毅進一步表示，市場庫存調節已至尾聲，整體產業現況溫和復甦，本季以庫存回補為主調，營運將緩步回升。
",183641764
20160112,WEB0335,2330,台積電,2016/01/12 20:53:30,台積電：本公司代子公司 TSMC Global Ltd. 公告取得JPMORGAN CHASE & CO.之普通公司債,"第二條　第20款
1.證券名稱:
JPMORGAN CHASE & CO.之普通公司債
2.交易日期:104/10/19~105/1/12
3.交易數量、每單位價格及交易總金額:
136,000單位;每單位US＄105.60;總計:US＄14.4佰萬元;
到期日:107/01/25~109/10/29
4.處分利益（或損失）（取得有價證券者不適用）:
不適用。
5.與交易標的公司之關係:
無。
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
236,000單位;US＄25.4佰萬元;持股比例:不適用;受限情形:無。
7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投
資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例
暨最近期財務報表中營運資金數額:
1.36%;1.68%; NT＄192,688佰萬元。
8.取得或處分之具體目的:
固定收益投資。
9.本次交易表示異議董事之意見:
不適用。
10.本次交易為關係人交易:
否
11.董事會通過日期:
不適用。
12.監察人承認或審計委員會同意日期:
不適用。
13.其他敘明事項:
無。
",183776440
20160114,WEB0266,2330,台積電,2016/01/14 18:10:58,庫存降低 張忠謀看好台積電Q1財測超標 10奈米搶到市佔,"台積電董事長張忠謀。(鉅亨網記者趙曉慧攝)
智慧型手機需求回溫，半導體今(2016)年展望較去年樂觀，台積電(2330-TW) (TSM-US)董事長張忠謀今(14)日表示，台積電今年首季的財測有機會超標，且10奈米製程可望一開始就搶到晶圓代工市場高市占率，顯示對自家公司的競爭力前景信心滿滿。
台積電今天舉行新一季度法說會，張忠謀親自出席。
半導體產值在歷經2015年零成長之後，台積電估計，智慧型手機需求回溫，這仍是驅動台積電業績成長的主要動力，但客戶對庫存的態度依舊維持謹慎。今年首季台積電的業績目標為季減1.3~2.7%。
對於害慘去年半導體業的庫存堆高問題，張忠謀指出，去年底庫存水位已經達到低於季節性水準2天，而台積電今年首季的財測是一般性，但可能會比預期好一點。
台積電財務長何麗梅另外表示，去年現金股利已提高至4.5元，今年股利可望比去年增加。而台積電去年毛利率為48.7%，今年毛利率預計介於45~49%。
台積電10奈米本季將進入設計定案，張忠謀表示，台積電10奈米製程一開始就可望在晶圓代工市場搶下高市占率，不會是輸家。
",183966632
