日期,流水編號,代號,名稱,發布日期時間,新聞標題,新聞內容,RTIME
20160105,WEB0252,3008,大立光,2016/01/05 16:40:48,蘋果走味！大立光12月營收39.79億元月減30.28%,"大立光2015年12月營收39.79億元月營收達30%，為歷年罕見，圖為大立光執行長林恩平。(鉅亨網記者張欽發攝)
台北股市股王大立光(3008-TW)今天收盤股價爆量重挫2.99%，收盤2110元也創13個月來收盤新低價，而大立光在今天盤後公布的2015年12月營收則呈現明顯的走跌頹勢，單月營收39.79億元，為2015年4月以來單月營收新低，並較上月大幅衰退30.28%，此一12月營收大減走勢為歷年罕見。
由大立光今天公布的2015年12月營收為39.79億元，較2015年11月下滑30.28%，較2014年12月57.54億元衰退30.84%；而2015年1-12月大立光營收為558.69億元，較2014年458.1億元成長21.96%。
而就大立光在2015年第4季營收表現來看，其在第4季的10月以57.69億元創歷史新高，而在11月及12月營收逐月下滑，而第4季營收154.55億元，較第3季的160.86億元衰退3.92%，也較2014年第4季168.89億元衰退8.49%。
大立光在2014年第4季的營收以168.89億元創歷史新高，而在這樣的比較基期之下，也顯示出大立光2015年的第4季衰退極為明顯。
大立光在20105年1-3季的財報稅後盈餘174.37億元，每股稅後盈餘為129.99元。
今天台股的表現中蘋果概念股及金融股都呈現弱勢格局，大立光下跌2.99%，收盤價2110元創下2014年11月中以來的13個月收盤新低價；證券、期貨分析師及會計師的張陳浩指出，而就大立光而言，今天股價開低走低的表現更是蘋果概念股中最為弱勢的個股，在這樣的股價表現之下，顯然是與蘋果iPhone 6S系列新手機銷售疲弱有關。
張陳浩並指出，由目前的蘋果iPhone 6S系列產品在亞洲地區銷售狀況出現降價的行銷及傳言蘋果急於在2016年3月推出iPhone 7上市，一反過去蘋果在9月才推出新機系列的慣例，其代表意義在於兩端，一者為蘋果iPhone 6S系列產品銷售極度疲弱，一者為蘋果在新的3D觸控技術及新創意已告成熟，積極以新產品的推出爭奪市場大餅。
同時，就大立光的股價技術面來看，張陳浩表示，大立光今天的成交量增加到1742張，明顯為昨日的676張的2.57倍，股價收盤報2110元，為13個月來收盤新低，技術線型來看呈現偏空，KD值也呈現死亡交叉的走勢。
就台北股市1月5日的集中市場來看，成交值由3大蘋概股搶占台股成交124.96億元，第1名為台積電(2330-TW)成交值64.2億9元，大立光成交值37.01億元，股價都呈現下跌，而鴻海(2317-TW)為第3名，其成交值23.75億元，鴻海股價收盤上漲0.1元，以79.1元作收。
",183061242
20160105,WEB0213,3008,大立光,2016/01/05 15:40:10,3大蘋概股搶124億元成交 大立光爆量挫2.99%最慘,"大立光股價5日爆量悲情重挫2.99%以2110元作收，創13個月來收盤新低價，圖為大立光執行長林恩平。(鉅亨網記者張欽發攝)
台北股市今(5)日集中市場加權股價指數下跌39.15點或0.48%，以8075.11點作收，而包括台積電(2330-TW)、大立光(3008-TW)、鴻海(2317-TW)3大蘋果概念股則成為台股成交值的前3名，搶占台股成交值124.96億元，而其中並以大立光收盤下跌2.99%的跌幅最重。
同時，大立光今天收盤價2110元，也創下2014年11月中以來的13個月收盤新低；證券、期貨分析而及會計師的張陳浩指出，今天台股的表現中蘋果概念股及金融股都呈現弱勢格局，而就大立光而言，今天股價開低走低的表現更是蘋果概念股中最為弱勢的個股，在這樣的股價表現之下，顯然是與蘋果iPhone 6S系列新手機銷售疲弱有關。
同時，在大立光股價今天的成交量增加到1742張，明顯成交量為昨日的676張的2.57倍，股價收盤報2110元為13個月來收盤新低的走勢之下，技術線型來看也呈現偏空，KD值也呈現死亡交叉。
就台北股市1月5日的集中市場來看，成交值由3大蘋概股搶占台股成交138億元，第1名為台積電成交值64.2億元，大立光成交值37.01億元，股價都呈現下跌，而鴻海為第3名，其成交值23.75億元，收盤上漲0.1元，以79.1元作收。
",183057623
20160106,WEB0116,3008,大立光,2016/01/06 9:50:04,股王大立光營收遇逆流跳空開低 股價跌破2000元,"大立光今天早盤以1910元跳空開低，最低價1905元，不僅跌破2000元大關，距離跌停也僅有1檔。圖為大立光執行長林恩平。(鉅亨網記者張欽發攝)
屬於蘋果供應鏈的股王大立光(3008-TW)在昨日盤後公布2015年12月營收則呈現明顯的走跌頹勢，單月營收39.79億元，為2015年4月以來單月營收新低，並較上月大幅衰退30.28%，加上外資JP摩根降評為「減碼」，目標價降為1950元，但在市場預期不利影響之下，大立光今天早盤以1910元跳空開低，最低價1905元，不僅跌破2000元大關，距離跌停也僅有1檔。
而昨日的盤後統計資料也顯示，三大法人中，外資賣超119張，投信賣超21張，而自營商買超35張。
最新的外資對於大立光評估顯示，除了JP摩根降評為「減碼」，目標價降為1950元之外，法銀巴黎投顧評等為「持有」，目標價為2140元；但以今天早盤的大立光股價表現，則均已跌破此一目標價區。
大立光公布的2015年12月營收為39.79億元，較2015年11月下滑30.28%，較2014年12月57.54億元衰退30.84%；而2015年1-12月大立光營收為558.69億元，較2014年458.1億元成長21.96%。
而就大立光在2015年第4季營收表現來看，其在第4季的10月以57.69億元創歷史新高，而在11月及12月營收逐月下滑，而第4季營收154.55億元，較第3季的160.86億元衰退3.92%，也較2014年第4季168.89億元衰退8.49%。
大立光在2014年第4季的營收以168.89億元創歷史新高，而在這樣的比較基期之下，也顯示出大立光2015年的第4季衰退極為明顯。
大立光在20105年1-3季的財報稅後盈餘174.37億元，每股稅後盈餘為129.99元。
",183136599
20160106,WEB0134,3008,大立光,2016/01/06 10:45:56,大立光：大立光電澄清媒體報導,"第二條　第49款
1.事實發生日:105/01/06
2.公司名稱:大立光電股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:蘋果日報
6.報導內容:
蘋果日報報導:(前略)本季進入淡季..預估將較上季的
154.4億元衰退35~40%..(後略)。
7.發生緣由:本公司並未提供財務預測等資訊。
有關營收與每股純益的實際數據，
以日後公司依規定公告為準。
8.因應措施:無。
9.其他應敘明事項:無。
",183139987
20160106,WEB0211,3008,大立光,2016/01/06 15:55:33,大立光敲定1/14法說 聚焦市場競爭力,"大立光敲定1/14召開線上法人說明會，將由執行長林恩平(見圖)主持。(鉅亨網記者張欽發攝)
蘋果供應鏈的股王大立光(3008-TW)在昨日盤後公布2015年12月營收則呈現明顯的走跌頹勢，單月營收39.79億元，並較上月大幅衰退30.28%，其今天股價的跳空大跌也造成市場賣壓大舉出籠，而大立光今天盤後則敲定在1月14日由執行長林恩平主持召開線上法人說明會。
而在大立光在全球手機相機鏡頭組的高市占率之下，法人除關切其2015年的獲利狀況之外，對於大立光所面對一直都存在的市場競爭，可能瓜分其市場占有率，也為其聚焦一大重點。
大立光今天早盤以1910元跳空開低，不僅跌破2000元大關，盤中更是一度跌停1900元，終場以1960元作收，較昨日下跌150元或7.11%，成交量更放大到3023張，較昨日的1747張大增73%，同時，大立光今天成交值達58.05億元，居台股第2位，僅次於台積電(2330-TW)的72.9億元。
而居台股成交值首位的台積電，今天收盤2.5元或1.81%，台積電收盤價報135.5元。但台股集中市場今天收盤下跌84.72點或1.05%，以7990.39點作收，收盤指數更跌破8000點大關。
最新的外資對於大立光評估顯示，除了JP摩根降評為「減碼」，目標價降為1950元之外，法銀巴黎投顧評等為「持有」，目標價為2140元；但今天稍後則有外資偏多的消息傳出，摩根史坦利證券重申對大之光「加碼」評等，目標價2700元；而德意志銀行則重申「買進」，對於大立光的目標價更達到3350元。
而就大立光在2015年第4季營收表現來看，其在第4季的10月以57.69億元創歷史新高，而在11月及12月營收逐月下滑，而第4季營收154.55億元，較第3季的160.86億元衰退3.92%，也較2014年第4季168.89億元衰退8.49%。而2015年1-12月大立光營收為558.69億元，較2014年458.1億元成長21.96%。
大立光在20105年1-3季的財報稅後盈餘174.37億元，每股稅後盈餘為129.99元。
",183158585
20160106,WEB0129,3008,大立光,2016/01/06 10:20:03,大立光可成12月營收摔 蘋概股股價承壓,"蘋果供應鏈中的鏡頭模組廠大立光(3008-TW)及機殼廠可成(2474-TW)陸續公布12月營收，分別較11月下滑30%及17%，今天股價聯袂重挫，也拖累鴻海(2317-TW)、和碩(4938-TW)、鴻準(2354-TW)、台郡(6269-TW)、F-臻鼎(4958-TW)等蘋概股，早盤跌幅都超過3%。
可成12月營收接連摜破80億元及70億元大關，僅剩69億元，受到大立光跌停拖累，可成也持續走低，盤中最低來到239元，不僅跌破250元的整數關卡，同時也創下2014年12月24日以來新低價。
不過就可成去年第4季營收數字來看，單季營收234.79億元，較第3季合併營收214.05億元，增加20.74億元，季成長率9.7%；與2014年同期合併營收170.14億元，增加64.65億元，年增率38%。法人指出，可成第4季的表現基本上仍符合可成董事長洪水樹先前多次所說的，「維持很有感覺的成長」。
法人表示，可成今年及明年佔蘋果(AAPL-US)iPhone機殼的滲透率比重仍可望持續成長，預估今年的滲透率約9%，明年將再提升到12%，可成營收將繼續維持強勁成長。
",183138427
20160106,WEB0191,3008,大立光,2016/01/06 15:02:10,大立光：本公司召開法人說明會事宜,"第二條　第12款
符合條款第四條第XX款：12
事實發生日：105/01/14
1.召開法人說明會之日期：105/01/14
2.召開法人說明會之時間：14 時 30 分 
3.召開法人說明會之地點：線上法說會
4.法人說明會擇要訊息：104年第四季營運報告及說明105年第一季營運展望
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。
",183155335
20160107,WEB0238,3008,大立光,2016/01/07 16:41:02,大立光：公告本公司申請股票上市時所出具之承諾事項暨其後續執行情形,"第二條　第49款
1.事實發生日:105/01/07
2.公司名稱:大立光電股份有限公司
3.與公司關係(請輸入本公司或子公司):採權益法評價之被投資公司
4.相互持股比例:持有大根香港有限公司100%
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:公告本公司申請股票上市時所出具之承諾事項暨其後續
8.因應措施:承諾事項一:本公司非依公司法第185條規定之程序,不得處
份大根香港有限公司及其投資設立之大根東莞光電有限公司
執行情形:截至目前為止本公司並未處份該等公司股票
9.其他應敘明事項:無
",183261250
20160107,WEB0164,3008,大立光,2016/01/07 13:10:13,蘋概股大崩壞 大立光半年來股價腰斬 市值縮水2500億,"大立光近期股價急跌，股價半年內已高點3715元腰斬，圖為大立光執行長林恩平。(鉅亨網記者張欽發攝)
台北股市股王大立光(3008-TW)挾小股本、高成長的優勢，在2015年7月以3715元的股價創下台股個股新天價，市值並達4983億元；但大立光近期的急跌造成市值的縮減，今天大立光盤中低點來到1815元，自去年天價下跌幅度已達51.54%。
由於美商蘋果公司的新產品iPhone 6S系列新機銷售狀況未如預期，加上傳出蘋果對於iPhone 6S系列新機將砍單30%，引爆可成(2474-TW)、大立光股價在今天的持續重挫，可成在盤中跌停，而大立光股價在盤中大跌超過7%，最低價到1815元。形成大立光市值由高點的4983億元大幅縮水到今天最低的2434億元。
大立光今天早盤以1930元開出，最高1945元，最低為1815元，盤中最大跌幅逾7%，成交量仍在1800張之上。
屬於美商蘋果光學元件供應鏈的大立光的2015年第3季營收以160.86億元創下單季歷史次高紀錄，單季獲利則以82.06億元創新高，累計1-3季稅後盈餘174.37億元，每股稅後盈餘129.99元。但第4季業績未如預期，尤其是2015年12月營收下滑39.79億元，比起11月及2014年同月營收減幅都在30%，引爆賣壓的出籠，今天股價並跌破1900元。
",183248678
20160107,WEB0179,3008,大立光,2016/01/07 14:30:24,股王大立光落難 漢微科股價跟進 收盤仍跌停鎖住,"台股今(7)日摜破10年線支撐，蘋概股走勢仍相當疲弱，股王大立光昨(6)日率先被空方打到跌停，今日持續破底，並拖累股后漢微科(3658-TW)股價同步落難，在賣壓襲擊影響下，漢微科股價盤中重挫跌停鎖住，尾盤前跌停仍未打開，收在1080元，後續恐回測前波低點1020元。
由於iPhone 6S銷售狀況不佳，加上中國大陸手機市場需求不佳，近期傳蘋果已暫緩供應鏈生產進度，以降低庫存水位，連帶衝擊台灣相關蘋果供應鏈營收表現，其中大立光、可成等12月營收都令市場意外，表現相當弱勢，大立光昨日開盤不久就重挫跌停，今日盤中延續跌勢，股價再挫半根停板，並以1815元再創波段低點。
蘋概股仍是今日盤面弱勢主軸，高價股在大立光重挫拖累下，加上陸股大跌，指數跌點一度達200多點，股后漢微科走勢開始轉弱，盤中賣壓盡出，午盤前就被打到跌停價位1080元。
由於半導體景氣仍未見明朗，加上英特爾、台積電先進製程發展進度遲緩，另外還有市場競爭壓力，漢微科短期營運表現壓力。
另外漢微科為提高營運動能，積極要讓電子束檢測設備進入生產階段，不過外資對此保守看待，認為2020年電子束檢測市佔率，恐不如漢微科原先預估的5成水準。
",183253406
