日期,流水編號,代號,名稱,發布日期時間,新聞標題,新聞內容,RTIME
20160104,WEB0340,2317,鴻海,2016/01/04 20:00:04,鴻海贊助《老鷹想飛》1年公播權 三創寒假辦紀錄片影展," 郭台銘邀請大屯國小小朋友到鴻海總部說明希望如何協助老鷹。(鉅亨網記者李宜儒攝)
鴻海(2317-TW)董事長郭台銘表示，由集團旗下永齡基金會贊助《老鷹想飛》1年公播權，讓有意想要播放《老鷹想飛》的機關團體，可以播放影片。另外永齡基金會董事長，同時也是三創董事長郭守正也表示，將在即將到來的寒假，再三創園區舉辦紀錄片影展。
台北市北投區大屯國小一名二年級小男生看完電影《老鷹想飛》預告片之後跟受感動而哭了，又聽說因為票房不好即將下檔，因此主動跟老師說，想寫信請郭台銘幫忙。鴻海也在今天下午2點於土城總部舉行記者會，並由郭台銘親自出席。
郭台銘在回覆給小朋友的信中表示，收到你們的信了，這份愛護台灣的心讓人很感動。郭台銘表示，他還沒看過《老鷹想飛》這部電影，有機會想邀請更多小朋友一起來看。
郭台銘說，老鷹原本是天上的猛禽，卻也擋不住使用農藥破壞環境的苦果，你們為老鷹掉眼淚，也是為大家的生存環境掉眼淚，為了回應妳們的心願，讓更多人擁有和你們一樣的感動，永齡基金會正在跟導演以及製作團隊談播映權，未來有更長的時間能在三創生活園區或有興趣的中小學，都可以播放這不值得大家來看的好電影。
郭台銘說，感動更要有行動，因此只有擴大台灣不用藥的土地，才能實現讓老鷹翱翔的願望，八八風災後，永齡在高雄杉林地區捐贈經營台灣最大的永齡有機農場，雖然救災六年計劃屆滿，不過今年鴻海還是會繼續做下去，除了照顧居民，更重要的就是保護土地跟生態永續，希望寒假邀請小朋友到農場體驗一日農事，品嘗有機餐點，還有機會看到老鷹，謝謝你們的來信，讓大家一起使台灣變得更美、更好。
",182973179
20160104,WEB0132,2317,鴻海,2016/01/04 12:35:29,台股紅盤遭空襲 鴻海股價摜破80元大關 創近半年新低,"歐美股市在年底封關日出現大跌，台股今天也是表現疲弱，其中電子指標股鴻海(2317-TW)也呈現開平走低，盤中最低一度來到78.6元，直逼前波低點8月24日的77.9元。不過鴻海最快本周將公布去年12月營收，一般預料有機會維持11月水準，可望為低迷股價注入一劑強心針。
受到蘋果(AAPL-US)iPhone出貨不如預期影響，鴻海近期股價呈現低檔整理，多次回測80元整數關卡，也拖累集團股股價表現也處於低檔狀況。不過鴻海本身營收則是維持穩定，10、11月營收都維持在5000億元以上。其中鴻海11月營收再度突破5000億元大關，以5175.19億元再創歷史新高，月增率2.89%，年增率0.53%；累計今年前11月營收為4兆734.41億元，年增率10.19%。
法人預估，鴻海第4季營收約1兆5500億元，毛利率約7.5%，營業獲利約590億元，稅前純益約640億元，稅後純益約510億元，每股稅後純益約3.2元。
另外隨著蘋果將繼續推出4吋新款iPhone，法人指出，鴻海有機會獨家取得該款新機代工訂單，可望為1月的鴻海營運表現再添動能。
",182946475
20160104,WEB0234,2317,鴻海,2016/01/04 16:38:28,鴻海：本公司一百零三年度第五期無擔保普通公司債甲券付息公告作業,"事實發生日起始日：20160114
事實發生日終止日：20160114
發生緣由：依鴻海精密工業股份有限公司一百零三年度第五期無擔保普通公司債發行辦法之付息作業
因應措施：依既定發行條件還本付息
現行已流通在外證券總額：0
受影響之證券種類：普通公司債
受影響之證券期別：103-5
受影響之證券券別：甲
對債權人之可能影響：無
其他應敘明事項：無
公告類型：既定之還本付息
債券代碼：B64473
票面利率：0.000000
本次利率重設日期：0
下次利率重設日期：0
債息對照表：
本月底發行餘額：2750000000
本月發行餘額變動日期：20160114
償還本金金額：0
付息：33825000
下櫃日期：0
評等種類：
評等機構：
信用評等等級：
評等日期：0
原因：
",182961100
20160104,WEB0235,2317,鴻海,2016/01/04 16:38:34,鴻海：本公司一百零三年度第五期無擔保普通公司債乙券付息公告作業,"事實發生日起始日：20160114
事實發生日終止日：20160114
發生緣由：依鴻海精密工業股份有限公司一百零三年度第五期無擔保普通公司債發行辦法之付息作業
因應措施：依既定發行條件還本付息
現行已流通在外證券總額：0
受影響之證券種類：普通公司債
受影響之證券期別：103-5
受影響之證券券別：乙
對債權人之可能影響：無
其他應敘明事項：無
公告類型：既定之還本付息
債券代碼：B64474
票面利率：0.000000
本次利率重設日期：0
下次利率重設日期：0
債息對照表：
本月底發行餘額：1600000000
本月發行餘額變動日期：20160114
償還本金金額：0
付息：23200000
下櫃日期：0
評等種類：
評等機構：
信用評等等級：
評等日期：0
原因：
",182961100
20160104,WEB0236,2317,鴻海,2016/01/04 16:38:40,鴻海：本公司一百零三年度第五期無擔保普通公司債丙券付息公告作業,"事實發生日起始日：20160114
事實發生日終止日：20160114
發生緣由：依鴻海精密工業股份有限公司一百零三年度第五期無擔保普通公司債發行辦法之付息作業
因應措施：依既定發行條件還本付息
現行已流通在外證券總額：0
受影響之證券種類：普通公司債
受影響之證券期別：103-5
受影響之證券券別：丙
對債權人之可能影響：無
其他應敘明事項：無
公告類型：既定之還本付息
債券代碼：b64475
票面利率：0.000000
本次利率重設日期：0
下次利率重設日期：0
債息對照表：
本月底發行餘額：2800000000
本月發行餘額變動日期：20160114
償還本金金額：0
付息：50400000
下櫃日期：0
評等種類：
評等機構：
信用評等等級：
評等日期：0
原因：
",182961100
20160104,WEB0137,2317,鴻海,2016/01/04 13:25:14,小學生請郭台銘為《老鷹想飛》廣告 鴻海下午2點記者會回應,"台北市北投區大屯國小一名二年級小男生看完電影《老鷹想飛》預告片之後跟受感動而哭了，又聽說因為票房不好即將下檔，因此主動跟老師說，想寫信請郭台銘幫忙。鴻海(2317-TW)接到信件後，立刻轉給董事長郭台銘，而鴻海也將在今天下午2點在土城總部舉行記者會，並由郭台銘親自出席回應小朋友的訴求。
大屯國小10月中邀請台灣猛禽研究會演講，並播放了《老鷹想飛》的預告片，和孩子們討論老鷹面臨的危機。一名小男生在觀看影片過後，因為覺得老鷹好可憐喔而哭了，小學生們也紛紛舉出可以幫助老鷹的方法，包括請爸媽買不灑農藥的菜、叫阿公種菜不灑農藥、請爸媽帶我們去看老鷹想飛等。
過了2個月後，那位看了電影哭了的小男生又看見說報紙寫老鷹想飛票房不好，有些戲院不放映了，因而突發奇想，想要寫信給郭台銘，請他幫忙作廣告，讓大家都去看。老師則回應說，寫得出來老師就幫你寄。
小男生在信中寫著，親愛的郭台銘先生，您好！我是大屯國小二年級ＯＯ。因為我看了老鷹想飛的電影，發現老鷹已經快滅絕了，這是人類用加寶服農藥，麻雀吃了農作物中毒，老鷹吃了麻雀也中毒了。我覺得《老鷹想飛》這部電影很重要，但是很少人看，請您幫《老鷹想飛》打廣告吧！謝謝您！祝您天天快樂！
",182949505
20160105,WEB0143,2317,鴻海,2016/01/05 11:50:10,人民幣2015年Q4貶值2% 鴻海匯兌賺飽飽,"根據中國人民銀行所公布的人民幣中間匯價，2015年9月30日1美元兌人民幣為6.36元(約新台幣31.8元)，到12月31日的報價來到6.49元(約新台幣32.45元)，短短3個月內，人民幣貶值幅度達2%，由於鴻海(2317-TW)在中國有百萬大軍，包括員工薪資及支付貨款，多以人民幣交易，因此人民幣走貶，預料鴻海匯兌將有所收益。
受惠於新台幣及人民幣在2015年第3季雙雙對美元貶值，電子代工大廠鴻海單季匯兌收益達54.9億元，超過2015年上半年的25億元，累計2015年前3季，鴻海匯兌收益達79.9億元，佔鴻海稅後純益939.33億元約7.9%，顯見鴻海在匯率操作上確實有一套。
分析鴻海2015年前3季匯兌收益表現，分別為第3季54.9億元、第2季21.8億元、第1季3.2億元，法人指出，分析鴻海主要收款貨幣，有近90%的比重是來美元，儘管鴻海積極擴產海外生產據點，不過中國仍然是鴻海最主要的生產基地，包括員工薪資、原物料貨款等，在中國主要的付款幣別是人民幣，因此人民幣走貶，自然有助於鴻海匯兌表現。
",183043852
20160105,WEB0144,2317,鴻海,2016/01/05 11:50:49,鴻海：說明媒體報導,"第二條　第49款
1.事實發生日:105/01/04
2.公司名稱:鴻海精密工業股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:聯合晚報
6.報導內容:全年成長10％目標達陣無虞，…第4季業績將突破1.5兆元大關
7.發生緣由:不適用。
8.因應措施:
本公司迄今未對財務報表作任何預估，財務報表依規定於公開資訊觀測站公佈。
9.其他應敘明事項:無。
",183043852
20160106,WEB0282,2317,鴻海,2016/01/06 17:41:59,鴻海：代子公司富泰華精密電子(鄭州)有限公司公告取得不動產,"第二條　第20款
1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
鄭州金水東路與東風南路交叉口“鄭東‧綠地中心”北塔61~62F之整層樓層
2.事實發生日:105/1/6~105/1/6
3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易單位數量:6,020.76平方公尺，折合1,821.28坪；
每單位價格:人民幣15,500元；
交易總金額:人民幣93,321,780元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
河南綠地廣場置業發展有限公司；無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
雙方確定買賣關係後，一次性全額支付
9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
交易之決定方式:議價；
價格決定之參考依據:按市場行情；
決策單位:董事會
10.專業估價者事務所或公司名稱及其估價金額:
專業估價者公司名稱:河南省光明資產評估有限公司；
估價金額:人民幣185,728,600元
11.專業估價師姓名:
張喜善、朱秋華
12.專業估價師開業證書字號:
張喜善:41030003
朱秋華:41140028
13.估價報告是否為限定價格、特定價格或特殊價格:否
14.是否尚未取得估價報告:否
15.尚未取得估價報告之原因:
不適用
16.與交易金額比較有重大差異原因及會計師意見:
不適用
17.經紀人及經紀費用:
河南省光明資產評估有限公司；人民幣40,000元
18.取得或處分之具體目的或用途:
研發中心辦公場地
19.本次交易表示異議之董事之意見:
無
20.本次交易為關係人交易:否
21.董事會通過日期:
不適用
22.監察人承認或審計委員會同意日期:
不適用
23.本次交易係向關係人取得不動產:否
24.依「公開發行公司取得或處分資產處理準則」第十五條規定
評估之價格:不適用
25.依前項評估之價格較交易價格為低者，依同準則第十六條規
定評估之價格:不適用
26.其他敘明事項:
無
",183164877
20160107,WEB0309,2317,鴻海,2016/01/07 18:14:47,鴻海：代子公司富智康精密電子(廊坊)有限公司公告取得理財產品,"第二條　第20款
1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
廣發銀行“廣贏安薪”保證收益型（B款）人民幣理財計畫
2.事實發生日:105/1/7~105/1/7
3.交易數量、每單位價格及交易總金額:
人民幣500,000,000元
4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
廣東發展銀行北京分行;無
5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
不適用
9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清
10.本次交易之決定方式、價格決定之參考依據及決策單位:
依公司核定權限辦理
11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
人民幣500,000,000元
12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產比例：0.1109%
占業主權益比例：0.2660%
營運資金數額：新台幣129,344,208,000元
13.經紀人及經紀費用:
無
14.取得或處分之具體目的或用途:
投資理財/保本固定收益型理財產品
15.本次交易表示異議董事之意見:
無
16.本次交易為關係人交易:否
17.董事會通過日期:
不適用
18.監察人承認日期:
不適用
19.本次交易會計師出具非合理性意見:否
20.其他敘明事項:
無
",183266934
